Well	Field	Cell Number	Top	Left	CircAvgIntenCh2	CircRingAvgIntenRatioCh2
C3	8	26	285	233	28.93359375	0.845234428
C3	8	27	312	265	28.96141479	2.867215947
C3	8	28	365	182	29.07958478	2.300755507
C3	8	29	381	391	29.09375	0.215976753
C3	8	30	398	389	29.17427386	1.717615213
C3	8	31	449	40	29.19031142	2.896903666
C3	8	32	485	341	29.228471	1.205889687
C3	8	33	500	161	29.23706897	0
C3	9	1	38	65	29.24102564	2.599085914
C3	9	2	110	128	29.25	1.15117561
C3	9	3	119	428	29.31395349	1.722420406
C3	9	4	129	302	29.37910448	1.424489072
C3	9	5	161	4	29.41666667	1.560974595
C3	9	6	177	3	29.48	0.909556314
C3	9	7	186	381	29.49802372	1.39617402
C3	9	8	188	5	29.5370844	1.547220723
C3	9	9	196	367	29.54291845	1.327141272
C3	9	10	211	98	29.58558559	2.152762026
C3	9	11	234	168	29.63752277	0
C3	9	12	235	146	29.66896552	1.652613386
C3	9	13	237	142	29.67541766	0
C3	9	14	249	442	29.71428571	1.175251283
C3	9	15	265	328	29.8	2.514674961
C3	9	16	267	58	29.855	1.510103988
C3	9	17	270	484	29.92368421	1.986297945
C3	9	18	293	201	29.92424242	2.646443449
C3	9	19	338	487	30.0477707	0
C3	9	20	341	325	30.05396825	3.438399392
C3	9	21	389	421	30.11363636	1.127065806
C3	9	22	400	432	30.23480084	1.473121172
C3	9	23	421	421	30.35204082	3.186404744
C3	9	24	463	141	30.45736434	2.675144388
C3	10	1	3	254	30.52430556	1.458038609
C3	10	2	5	351	30.86538462	1.426789986
C3	10	3	10	127	30.92592593	1.056427394
C3	10	4	12	333	30.99561404	0.844407433
C3	10	5	19	199	31.00813008	1.409506559
C3	10	6	24	422	31.02564103	1.25993615
C3	10	7	30	334	31.03611111	0.787547922
C3	10	8	56	324	31.04460967	0
C3	10	9	59	133	31.05863192	2.621755839
C3	10	10	68	266	31.07961783	0.89665655
C3	10	11	71	251	31.09411765	1.301708305
C3	10	12	85	410	31.10175439	0.413712514
C3	10	13	95	13	31.26641651	1.498089218
C3	10	14	99	317	31.26923077	1.407510252
C3	10	15	102	422	31.36713287	1.252116507
C3	10	16	115	416	31.39344262	1.619219684
C3	10	17	124	428	31.41860465	1.344698551
C3	10	18	135	428	31.5	1.476150851
C3	10	19	148	291	31.74879227	2.051546206
C3	10	20	156	180	31.75739645	2.73079186
C3	10	21	194	93	31.76346604	3.09453698
C3	10	22	195	93	31.98830409	0
C3	10	23	203	211	32.08762887	1.344245818
C3	10	24	205	200	32.10080645	0.539515412
C3	10	25	209	377	32.20300752	2.220467255
C3	10	26	211	214	32.21590909	8.47E-02
C3	10	27	214	372	32.29360465	0
C3	10	28	215	351	32.31279621	2.71E-02
C3	10	29	277	242	32.35714286	2.105457149
C3	10	30	284	455	32.40993789	1.08527018
C3	10	31	320	84	32.5	3.4819248
C3	10	32	323	420	32.62352941	0
C3	10	33	326	391	32.69565217	1.032685452
C3	10	34	338	415	32.77857143	1.721634446
C3	10	35	344	147	32.7921147	1.331518591
C3	10	36	362	384	32.80286738	3.33137956
C3	10	37	421	280	32.92307692	1.626862792
C3	10	38	437	163	32.94845361	1.647837578
C3	10	39	437	310	33	0
C3	10	40	450	292	33.07366071	0
C3	11	1	3	338	33.17741935	2.122504472
C3	11	2	53	417	33.19047619	3.61780249
C3	11	3	116	316	33.25	2.431558535
C3	11	4	119	431	33.25388601	3.323379971
C3	11	5	154	187	33.3697479	1.524877891
C3	11	6	164	483	33.38626609	2.843079545
C3	11	7	171	146	33.43278689	0.564000771
C3	11	8	184	23	33.44748858	1.25945674
C3	11	9	188	121	33.59821429	2.68E-03
C3	11	10	192	176	33.62403101	2.061181142
C3	11	11	206	266	33.66798419	2.79332216
C3	11	12	209	9	33.74303406	3.072294924
C3	11	13	217	27	33.77948718	0.094497175
C3	11	14	235	54	33.825	1.816429013
C3	11	15	247	26	33.83333333	0.248424727
C3	11	16	266	433	34.06486486	0.444840589
C3	11	17	280	403	34.0819209	0.762481175
C3	11	18	342	130	34.14925373	1.111791099
C3	11	19	353	115	34.15350877	0.855719905
C3	11	20	356	323	34.39912281	1.276912574
C3	11	21	356	394	34.51898734	1.908659924
C3	11	22	359	382	34.54205607	2.302893863
C3	11	23	397	345	34.59797297	0
C3	11	24	398	350	34.63157895	0.747844646
C3	11	25	401	290	34.66666667	4.46E-03
C3	11	26	401	327	34.7	0.721623447
C3	11	27	401	337	34.78316327	0
C3	11	28	416	47	34.83532934	0
C3	11	29	416	367	34.85822785	0.198833001
C3	11	30	425	46	34.96710526	2.05450499
C3	11	31	435	463	34.97160883	1.78076488
C3	11	32	441	75	35	0
C3	11	33	479	418	35.04878049	0.220859152
C3	12	1	29	100	35.08530806	0.61400161
C3	12	2	45	229	35.10810811	1.37015783
C3	12	3	49	472	35.14285714	1.465530189
C3	12	4	59	453	35.14716981	1.308125665
C3	12	5	61	433	35.23015873	1.69E-02
C3	12	6	125	355	35.33333333	1.668100448
C3	12	7	126	338	35.41776316	1.075580901
C3	12	8	171	263	35.44176707	1.479587464
C3	12	9	173	87	35.5625	2.78378307
C3	12	10	200	50	35.61180124	0.791576153
C3	12	11	205	14	35.62382445	1.287643277
C3	12	12	208	37	35.7038835	1.509217876
C3	12	13	234	458	35.73469388	2.65E-02
C3	12	14	240	200	36	2.653186708
C3	12	15	268	400	36.09448819	0.471660349
C3	12	16	279	424	36.1953125	0.887512017
C3	12	17	309	103	36.2	1.431067571
C3	12	18	313	243	36.26551724	3.116658125
C3	12	19	322	212	36.30258303	2.07457507
C3	12	20	324	192	36.34761905	2.306887004
C3	12	21	329	241	36.56338028	0
C3	12	22	330	372	36.60098522	1.330508023
C3	12	23	331	347	36.76470588	0.260830332
C3	12	24	341	393	36.86666667	0
C3	12	25	353	331	36.87368421	0
C3	12	26	364	232	36.95673077	1.884553186
C3	12	27	367	332	37.19869707	0.828555358
C3	12	28	369	439	37.2606383	0
C3	12	29	376	115	37.47584187	2.265416814
C3	12	30	402	428	37.55378486	0.258763762
C3	12	31	418	437	37.58744395	1.303409825
C3	12	32	431	48	37.63803681	0.69308719
C3	12	33	431	60	37.68333333	0.489881303
C3	12	34	436	35	37.97137405	1.524396661
C3	12	35	446	17	38.18110236	4.74E-02
C3	12	36	457	182	38.184	2.657872236
C3	12	37	461	466	38.38559322	2.182402462
C3	12	38	485	476	38.5	1.375615108
C3	13	1	4	165	38.69565217	1.773548986
C3	13	2	5	145	38.776	1.673741803
C3	13	3	57	292	38.86956522	1.360332935
C3	13	4	58	311	38.87888199	1.521684403
C3	13	5	63	101	38.91692308	2.303503234
C3	13	6	68	87	39.00993377	1.397778929
C3	13	7	84	123	39.05442177	3.29E-03
C3	13	8	87	143	39.10810811	2.56282979
C3	13	9	97	162	39.183391	0.163618422
C3	13	10	103	42	39.44736842	1.14339488
C3	13	11	107	477	39.50439883	1.451272321
C3	13	12	122	281	39.54362416	1.345510137
C3	13	13	124	194	39.55194805	0.407197107
C3	13	14	160	46	39.67733333	1.082095001
C3	13	15	162	23	39.80582524	0.913176021
C3	13	16	175	58	40.04545455	1.121754821
C3	13	17	190	222	40.19512195	1.13096487
C3	13	18	198	108	40.22522523	2.11429545
C3	13	19	276	399	40.26122449	2.443946925
C3	13	20	285	26	40.29716981	1.517601347
C3	13	21	296	392	40.77887789	2.875338105
C3	13	22	349	60	40.85714286	1.542215504
C3	13	23	367	154	40.91176471	3.21149172
C3	13	24	376	475	41.16666667	1.350506455
C3	13	25	399	427	41.63190184	0.972767965
C3	13	26	406	223	41.95172414	2.84999545
C3	13	27	427	295	41.97222222	1.491254811
C3	13	28	454	158	41.98969072	2.80560971
C3	13	29	459	169	42.35166994	0
C3	13	30	463	394	42.35714286	1.295981155
C3	13	31	485	396	42.39929329	1.033804538
C3	14	1	20	120	42.62222222	0.1622351
C3	14	2	28	80	42.69927536	1.547945867
C3	14	3	29	211	43.17333333	1.353591839
C3	14	4	46	92	43.24576271	0
C3	14	5	70	374	43.35897436	0.918634866
C3	14	6	76	369	43.36051502	0
C3	14	7	77	65	43.44067797	2.196867165
C3	14	8	91	281	43.4408284	1.199139516
C3	14	9	94	374	43.61666667	1.263068751
C3	14	10	108	187	43.75280899	2.846072875
C3	14	11	195	270	44.03010033	1.117193245
C3	14	12	196	191	44.26344086	0.807731336
C3	14	13	209	388	44.37135279	0.209477398
C3	14	14	235	24	44.41455696	1.32E-02
C3	14	15	255	57	44.48198198	1.006035157
C3	14	16	258	234	44.60299625	1.472426963
C3	14	17	260	118	45.2345679	1.587400797
C3	14	18	268	110	45.51481481	1.334773885
C3	14	19	286	196	45.61538462	1.357086509
C3	14	20	305	299	45.7755102	0.239694663
C3	14	21	306	104	45.84615385	1.464443195
C3	14	22	313	274	45.96411483	1.145422429
C3	14	23	319	330	46.04651163	1.072275118
C3	14	24	340	375	46.06741573	9.88E-02
C3	14	25	340	476	46.0877193	0
C3	14	26	352	477	46.375	1.732142857
C3	14	27	360	208	46.39444444	1.60786576
C3	14	28	366	226	46.42533937	1.672418214
C3	14	29	389	132	46.67763158	4.73E-02
C3	14	30	391	304	47	0.426442065
C3	14	31	393	65	47.02719033	0.578016326
C3	14	32	400	15	47.18281938	0.722882238
C3	14	33	469	192	47.42857143	1.805423099
C3	14	34	495	40	47.78823529	1.235137533
C3	15	1	4	383	47.88484848	2.890733749
